사업장명칭,사업장소재지(지번),주사육업종,사육두수
성재농장,전라남도 영암군 서호면 성재리  ,돼지,1233
성일축산영농조합법인,전라남도 영암군 미암면 채지리  ,돼지,1600
다울농장,전라남도 영암군 미암면 선황리  ,돼지,1079
전일농장,전라남도 영암군 미암면 춘동리  ,돼지,1500
창업축산,전라남도 영암군 미암면 신포리  ,돼지,4000
이유농장,전라남도 영암군 학산면 묵동리  ,돼지,2483
농업회사법인팜스텍(주),전라남도 영암군 시종면 와우리  ,돼지,10453
미암축산,전라남도 영암군 미암면 신한리,돼지,250
덕실축산,전라남도 영암군 군서면 마산리  ,돼지,1000
농업회사법인(유)대성축산,전라남도 영암군 시종면 봉소리  ,돼지,4917
칠봉농장,전라남도 영암군 덕진면 덕진리  ,돼지,2000
대복농장,전라남도 영암군 미암면 춘동리  ,돼지,2200
영호양돈축산영농조합법인,전라남도 영암군 도포면 영호리  ,돼지,1500
OS Family,전라남도 영암군 도포면 영호리  ,돼지,500
해누리팜,전라남도 영암군 도포면 영호리  ,돼지,2223
대아관광농원,전라남도 영암군 미암면 호포리  ,돼지,116
정일농장,전라남도 영암군 학산면 묵동리  ,돼지,1500
밤재농장,전라남도 영암군 학산면 묵동리  ,돼지,1350
코리아축산,전라남도 영암군 도포면 수산리,돼지,1000
동성농장,전라남도 영암군 금정면 청용리  ,돼지,150
철용농장,전라남도 영암군 신북면 금수리  ,돼지,350
바우농장,전라남도 영암군 신북면 갈곡리,돼지,40
늘행복한농장,전라남도 영암군 신북면 갈곡리  ,돼지,700
형제흑돼지 농장,전라남도 영암군 금정면 연소리  ,돼지,50
제일축산,전라남도 영암군 덕진면 금강리  ,돼지,800
순자농장,전라남도 영암군 도포면 영호리  ,돼지,70
봉학농장,전라남도 영암군 도포면 영호리  ,돼지,250
동래농장,전라남도 영암군 금정면 안노리  ,돼지,100
씨알농장,전라남도 영암군 시종면 신학리  ,돼지,500
황구축산,전라남도 영암군 신북면 이천리  ,돼지,50
나주농장,전라남도 영암군 신북면 월지리  ,돼지,230
두일농장,전라남도 영암군 서호면 엄길리  ,돼지,270
창업축산,전라남도 영암군 미암면 신포리  ,돼지,2000
구시월드 대양축산,전라남도 영암군 신북면 장산리  ,돼지,2900
구시월드 구시GGP,전라남도 영암군 도포면 수산리  ,돼지,9000
월출산동물농장,전라남도 영암군 서호면 화송리  ,돼지,40
영호농원,전라남도 영암군 도포면 영호리  ,돼지,300
송광농장,전라남도 영암군 도포면 성산리  ,돼지,1800
지산목장,전라남도 영암군 서호면 청용리  ,돼지,35
우리손 영암농장,전라남도 영암군 도포면 영호리  ,돼지,5500
영암축산,전라남도 영암군 시종면 옥야리  ,돼지,350
구시월드 캐슬GGP,전라남도 영암군 도포면 수산리 ,돼지,7000
태양농장,전라남도 영암군 도포면 영호리  ,돼지,5
미암메추리농장,전라남도 영암군 미암면 채지리  ,메추리,150000
천수사슴목장,전라남도 영암군 덕진면 노송리  ,사슴,90
희상농장,전라남도 영암군 학산면 독천리  ,사슴,6
옥주농장,전라남도 영암군 삼호읍 난전리  ,산란계,41030
천일농장,전라남도 영암군 도포면 구학리  ,산란계,28000
금정농장,전라남도 영암군 도포면 덕화리  ,산란계,54000
태양농장,전라남도 영암군 삼호읍 동호리  ,산란계,64904
만수자연농장,전라남도 영암군 시종면 만수리  ,산란계,1420
홍균농장,전라남도 영암군 금정면 안노리  ,산란계,1500
석산농장,전라남도 영암군 금정면 월평리  ,산양,200
해든누리 흑염소농장,    ,산양,1000
활성산흑염소목장,전라남도 영암군 금정면 연소리  ,산양,300
동호농장,전라남도 영암군 시종면 내동리  ,산양,52
기찬흑염소,전라남도 영암군 군서면 마산리  ,산양,130
상월농장,전라남도 영암군 학산면 상월리  ,산양,8
온누리흑염소농장,전라남도 영암군 신북면 월평리  ,산양,50
흑염소농장 밤재,전라남도 영암군 학산면 묵동리  ,산양,22
닭실털보농장,전라남도 영암군 신북면 유곡리  ,오리,63000
해바레축산 영농조합법인,전라남도 영암군 덕진면 장선리  ,오리,15000
유산장농원,전라남도 영암군 미암면 채지리  ,오리,12000
해종축산,전라남도 영암군 도포면 원항리  ,오리,15000
범천농장,전라남도 영암군 도포면 영호리  ,오리,135000
삼성농장,전라남도 영암군 군서면 도장리  ,오리,12000
광주농장,전라남도 영암군 영암읍 망호리  ,오리,7000
원앙골농장,전라남도 영암군 신북면 학동리  ,오리,28900
금지오리,전라남도 영암군 시종면 금지리  ,오리,12000
삼도리농장,전라남도 영암군 신북면 월평리  ,오리,10000
태평농장,전라남도 영암군 신북면 모산리  ,오리,18000
태석농장,전라남도 영암군 영암읍 송평리  ,오리,13000
낭주오리농장,전라남도 영암군 도포면 원항리  ,오리,15000
희규축산,전라남도 영암군 군서면 도장리  ,오리,8000
해창농장,전라남도 영암군 군서면 해창리  ,오리,12000
우리농장,전라남도 영암군 영암읍 송평리  ,오리,15000
원광2농장,전라남도 영암군 신북면 월지리  ,오리,22000
그린축산,전라남도 영암군 시종면 월롱리  ,오리,30000
성진농장,전라남도 영암군 시종면 봉소리  ,오리,29000
수정농원,전라남도 영암군 시종면 월롱리  ,오리,13000
동산농장,전라남도 영암군 영암읍 송평리  ,오리,11500
가나안 농장,전라남도 영암군 시종면 월롱리  ,오리,16000
